basedir,bdf,video,duration
Sessions/2724,Part_21_Trial23_taggingVideos,P21-Rec4-2009.08.31.15.25.35_C1 trigger _C_Section_24,12
Sessions/3316,Part_26_Trial25_taggingImages1,P26-Rec2-2009.09.01.17.33.19_C1 trigger _C_Section_26,11
Sessions/178,Part_2_Trial7_taggingImages1,P2-Rec2-2009.07.10.16.34.31_C1 trigger _C_Section_8,11
Sessions/2587,Part_20_Trial16_taggingVideos,P20-Rec4-2009.08.31.11.39.35_C1 trigger _C_Section_17,14
Sessions/1067,Part_9_N_Trial14_emotion,P9-Rec1-2009.07.23.14.55.41_C1 trigger _C_Section_27,18
Sessions/1598,Part_13_S_Trial19_emotion,P13-Rec1-2009.08.26.14.28.28_C1 trigger _C_Section_38,113
Sessions/302,Part_3_Trial1_taggingImages1,P3-Rec2-2009.07.21.16.11.18_C1 trigger _C_Section_2,12
Sessions/3334,Part_26_Trial13_taggingImages2,P26-Rec3-2009.09.01.17.39.34_C1 trigger _C_Section_14,11
Sessions/3030,Part_24_S_Trial20_emotion,P24-Rec1-2009.09.01.11.59.10_C1 trigger _C_Section_40,120
Sessions/2159,Part_17_Trial8_taggingImages2,P17-Rec3-2009.08.28.10.31.45_C1 trigger _C_Section_9,11
Sessions/2760,Part_22_S_Trial15_emotion,P22-Rec1-2009.08.31.16.37.14_C1 trigger _C_Section_30,132
Sessions/3582,Part_28_Trial1_taggingImages2,P28-Rec3-2009.09.02.19.28.24_C1 trigger _C_Section_2,11
Sessions/1491,Part_12_Trial20_taggingImages1,P12-Rec2-2009.08.26.12.19.18_C1 trigger _C_Section_21,11
Sessions/2713,Part_21_Trial12_taggingVideos,P21-Rec4-2009.08.31.15.25.35_C1 trigger _C_Section_13,12
Sessions/1717,Part_14_N_Trial14_emotion,P14-Rec1-2009.08.26.16.33.03_C1 trigger _C_Section_27,17
Sessions/3558,Part_28_Trial7_taggingImages1,P28-Rec2-2009.09.02.19.22.16_C1 trigger _C_Section_8,11
Sessions/985,Part_8_Trial4_taggingImages2,P8-Rec3-2009.07.23.14.00.08_C1 trigger _C_Section_5,11
Sessions/3743,Part_29_Trial2_taggingVideos,P29-Rec4-2009.09.03.12.50.04_C1 trigger _C_Section_3,15
Sessions/3412,Part_27_S_Trial16_emotion,P27-Rec1-2009.09.02.16.36.05_C1 trigger _C_Section_32,132
Sessions/2207,Part_17_Trial26_taggingVideos,P17-Rec4-2009.08.28.10.38.02_C1 trigger _C_Section_27,12
Sessions/3649,Part_29_N_Trial5_emotion,P29-Rec1-2009.09.03.11.51.42_C1 trigger _C_Section_9,20
Sessions/3865,Part_30_Trial24_taggingImages2,P30-Rec3-2009.09.03.15.18.54_C1 trigger _C_Section_25,11
Sessions/2905,Part_23_Trial4_taggingImages1,P23-Rec2-2009.09.01.10.51.55_C1 trigger _C_Section_5,11
Sessions/3718,Part_29_Trial7_taggingImages2,P29-Rec3-2009.09.03.12.43.59_C1 trigger _C_Section_8,11
Sessions/3322,Part_26_Trial1_taggingImages2,P26-Rec3-2009.09.01.17.39.34_C1 trigger _C_Section_2,12
Sessions/1026,Part_8_Trial15_taggingVideos,P8-Rec4-2009.07.23.14.06.32_C1 trigger _C_Section_16,11
Sessions/2955,Part_23_Trial24_taggingImages2,P23-Rec3-2009.09.01.10.58.14_C1 trigger _C_Section_25,11
Sessions/2061,Part_16_Trial10_taggingVideos,P16-Rec4-2009.08.27.13.03.52_C1 trigger _C_Section_11,12
Sessions/403,Part_4_N_Trial7_emotion,P4-Rec1-2009.07.21.17.46.06_C1 trigger _C_Section_13,21
Sessions/481,Part_4_Trial20_taggingImages2,P4-Rec3-2009.07.21.18.50.11_C1 trigger _C_Section_21,11
Sessions/2255,Part_18_Trial4_taggingImages1,P18-Rec2-2009.08.28.12.14.34_C1 trigger _C_Section_5,11
Sessions/2846,Part_22_Trial15_taggingVideos,P22-Rec4-2009.08.31.17.33.45_C1 trigger _C_Section_16,9
Sessions/2385,Part_19_Trial4_taggingImages1,P19-Rec2-2009.08.28.17.21.43_C1 trigger _C_Section_5,11
Sessions/162,Part_2_S_Trial16_emotion,P2-Rec1-2009.07.10.15.42.44_C1 trigger _C_Section_32,124
Sessions/1143,Part_9_Trial2_taggingVideos,P9-Rec4-2009.07.23.15.54.20_C1 trigger _C_Section_3,17
Sessions/1817,Part_14_Trial26_taggingVideos,P14-Rec4-2009.08.26.17.33.49_C1 trigger _C_Section_27,12
Sessions/3407,Part_27_N_Trial14_emotion,P27-Rec1-2009.09.02.16.36.05_C1 trigger _C_Section_27,17
Sessions/2366,Part_19_S_Trial13_emotion,P19-Rec1-2009.08.28.16.34.00_C1 trigger _C_Section_26,81
Sessions/2912,Part_23_Trial11_taggingImages1,P23-Rec2-2009.09.01.10.51.55_C1 trigger _C_Section_12,11
Sessions/2656,Part_21_Trial15_taggingImages1,P21-Rec2-2009.08.31.15.13.20_C1 trigger _C_Section_16,11
Sessions/3376,Part_26_Trial25_taggingVideos,P26-Rec4-2009.09.01.17.45.49_C1 trigger _C_Section_26,12
Sessions/2603,Part_21_N_Trial2_emotion,P21-Rec1-2009.08.31.14.23.22_C1 trigger _C_Section_3,17
Sessions/2946,Part_23_Trial15_taggingImages2,P23-Rec3-2009.09.01.10.58.14_C1 trigger _C_Section_16,11
Sessions/2190,Part_17_Trial9_taggingVideos,P17-Rec4-2009.08.28.10.38.02_C1 trigger _C_Section_10,13
Sessions/2336,Part_18_Trial25_taggingVideos,P18-Rec4-2009.08.28.12.26.58_C1 trigger _C_Section_26,13
Sessions/2085,Part_17_N_Trial3_emotion,P17-Rec1-2009.08.28.09.35.38_C1 trigger _C_Section_5,20
Sessions/79,Part_1_Trial8_taggingImages2,P1-Rec3-2009.07.09.18.51.48_C1 trigger _C_Section_9,11
Sessions/2426,Part_19_Trial15_taggingImages2,P19-Rec3-2009.08.28.17.27.41_C1 trigger _C_Section_16,11
Sessions/2625,Part_21_N_Trial13_emotion,P21-Rec1-2009.08.31.14.23.22_C1 trigger _C_Section_25,20
Sessions/1961,Part_16_N_Trial6_emotion,P16-Rec1-2009.08.27.12.02.50_C1 trigger _C_Section_11,18
Sessions/3454,Part_27_Trial3_taggingImages2,P27-Rec3-2009.09.02.17.32.21_C1 trigger _C_Section_4,11
Sessions/2360,Part_19_S_Trial10_emotion,P19-Rec1-2009.08.28.16.34.00_C1 trigger _C_Section_20,97
Sessions/2609,Part_21_N_Trial5_emotion,P21-Rec1-2009.08.31.14.23.22_C1 trigger _C_Section_9,20
Sessions/2372,Part_19_S_Trial16_emotion,P19-Rec1-2009.08.28.16.34.00_C1 trigger _C_Section_32,60
Sessions/2356,Part_19_S_Trial8_emotion,P19-Rec1-2009.08.28.16.34.00_C1 trigger _C_Section_16,136
Sessions/978,Part_8_Trial27_taggingImages1,P8-Rec2-2009.07.23.13.53.14_C1 trigger _C_Section_28,11
Sessions/3524,Part_28_S_Trial7_emotion,P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_14,97
Sessions/809,Part_7_N_Trial15_emotion,P7-Rec1-2009.07.22.16.46.48_C1 trigger _C_Section_29,21
Sessions/662,Part_6_S_Trial6_emotion,P6-Rec1-2009.07.22.14.39.28_C1 trigger _C_Section_12,144
Sessions/3238,Part_25_Trial17_taggingVideos,P25-Rec4-2009.09.01.15.51.22_C1 trigger _C_Section_18,12
Sessions/1331,Part_11_N_Trial16_emotion,P11-Rec1-2009.07.24.10.27.36_C1 trigger _C_Section_31,23
Sessions/2524,Part_20_Trial13_taggingImages1,P20-Rec2-2009.08.31.11.26.53_C1 trigger _C_Section_14,11
Sessions/2591,Part_20_Trial20_taggingVideos,P20-Rec4-2009.08.31.11.39.35_C1 trigger _C_Section_21,13
Sessions/3609,Part_28_Trial28_taggingImages2,P28-Rec3-2009.09.02.19.28.24_C1 trigger _C_Section_29,11
Sessions/2829,Part_22_Trial28_taggingImages2,P22-Rec3-2009.08.31.17.27.47_C1 trigger _C_Section_29,10
Sessions/1801,Part_14_Trial10_taggingVideos,P14-Rec4-2009.08.26.17.33.49_C1 trigger _C_Section_11,12
Sessions/3488,Part_27_Trial7_taggingVideos,P27-Rec4-2009.09.02.17.38.20_C1 trigger _C_Section_8,10
Sessions/2626,Part_21_S_Trial13_emotion,P21-Rec1-2009.08.31.14.23.22_C1 trigger _C_Section_26,144
Sessions/1963,Part_16_N_Trial7_emotion,P16-Rec1-2009.08.27.12.02.50_C1 trigger _C_Section_13,20
Sessions/2819,Part_22_Trial18_taggingImages2,P22-Rec3-2009.08.31.17.27.47_C1 trigger _C_Section_19,11
Sessions/3053,Part_24_Trial22_taggingImages1,P24-Rec2-2009.09.01.12.48.07_C1 trigger _C_Section_23,12
Sessions/3662,Part_29_S_Trial11_emotion,P29-Rec1-2009.09.03.11.51.42_C1 trigger _C_Section_22,102
Sessions/767,Part_6_Trial16_taggingVideos,P6-Rec4-2009.07.22.15.52.24_C1 trigger _C_Section_17,17
Sessions/744,Part_6_Trial23_taggingImages2,P6-Rec3-2009.07.22.15.44.55_C1 trigger _C_Section_24,12
Sessions/1528,Part_12_Trial27_taggingImages2,P12-Rec3-2009.08.26.12.25.38_C1 trigger _C_Section_28,11
Sessions/667,Part_6_N_Trial9_emotion,P6-Rec1-2009.07.22.14.39.28_C1 trigger _C_Section_17,21
Sessions/2183,Part_17_Trial2_taggingVideos,P17-Rec4-2009.08.28.10.38.02_C1 trigger _C_Section_3,15
Sessions/693,Part_6_Trial2_taggingImages1,P6-Rec2-2009.07.22.15.37.28_C1 trigger _C_Section_3,11
Sessions/3663,Part_29_N_Trial12_emotion,P29-Rec1-2009.09.03.11.51.42_C1 trigger _C_Section_23,22
Sessions/379,Part_3_Trial18_taggingVideos,P3-Rec4-2009.07.21.16.26.01_C1 trigger _C_Section_19,15
Sessions/731,Part_6_Trial10_taggingImages2,P6-Rec3-2009.07.22.15.44.55_C1 trigger _C_Section_11,11
Sessions/2773,Part_22_Trial2_taggingImages1,P22-Rec2-2009.08.31.17.21.53_C1 trigger _C_Section_3,11
Sessions/3236,Part_25_Trial15_taggingVideos,P25-Rec4-2009.09.01.15.51.22_C1 trigger _C_Section_16,9
Sessions/1158,Part_9_Trial17_taggingVideos,P9-Rec4-2009.07.23.15.54.20_C1 trigger _C_Section_18,13
Sessions/1204,Part_10_S_Trial17_emotion,P10-Rec1-2009.07.23.16.46.58_C1 trigger _C_Section_34,110
Sessions/884,Part_7_Trial3_taggingVideos,P7-Rec4-2009.07.22.17.50.27_C1 trigger _C_Section_4,15
Sessions/2740,Part_22_S_Trial5_emotion,P22-Rec1-2009.08.31.16.37.14_C1 trigger _C_Section_10,126
Sessions/373,Part_3_Trial12_taggingVideos,P3-Rec4-2009.07.21.16.26.01_C1 trigger _C_Section_13,15
Sessions/1678,Part_13_Trial17_taggingVideos,P13-Rec4-2009.08.26.15.33.28_C1 trigger _C_Section_18,9
Sessions/1055,Part_9_N_Trial8_emotion,P9-Rec1-2009.07.23.14.55.41_C1 trigger _C_Section_15,23
Sessions/271,Part_3_N_Trial6_emotion,P3-Rec1-2009.07.21.15.09.17_C1 trigger _C_Section_11,19
Sessions/1364,Part_11_Trial23_taggingImages1,P11-Rec2-2009.07.24.11.21.50_C1 trigger _C_Section_24,11
Sessions/10,Part_1_S_Trial5_emotion,P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_10,136
Sessions/3347,Part_26_Trial26_taggingImages2,P26-Rec3-2009.09.01.17.39.34_C1 trigger _C_Section_27,11
Sessions/2327,Part_18_Trial16_taggingVideos,P18-Rec4-2009.08.28.12.26.58_C1 trigger _C_Section_17,14
Sessions/501,Part_4_Trial10_taggingVideos,P4-Rec4-2009.07.21.18.57.23_C1 trigger _C_Section_11,15
Sessions/968,Part_8_Trial17_taggingImages1,P8-Rec2-2009.07.23.13.53.14_C1 trigger _C_Section_18,13
Sessions/3309,Part_26_Trial18_taggingImages1,P26-Rec2-2009.09.01.17.33.19_C1 trigger _C_Section_19,11
Sessions/2132,Part_17_Trial11_taggingImages1,P17-Rec2-2009.08.28.10.25.21_C1 trigger _C_Section_12,12
Sessions/754,Part_6_Trial3_taggingVideos,P6-Rec4-2009.07.22.15.52.24_C1 trigger _C_Section_4,14
Sessions/852,Part_7_Trial1_taggingImages2,P7-Rec3-2009.07.22.17.43.52_C1 trigger _C_Section_2,11
Sessions/3538,Part_28_S_Trial14_emotion,P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_28,125
Sessions/1675,Part_13_Trial14_taggingVideos,P13-Rec4-2009.08.26.15.33.28_C1 trigger _C_Section_15,13
Sessions/55,Part_1_Trial14_taggingImages1,P1-Rec2-2009.07.09.18.44.59_C1 trigger _C_Section_15,11
Sessions/608,Part_5_Trial17_taggingImages2,P5-Rec3-2009.07.22.13.11.59_C1 trigger _C_Section_18,10
Sessions/219,Part_2_Trial18_taggingImages2,P2-Rec3-2009.07.10.16.41.03_C1 trigger _C_Section_19,11
Sessions/2999,Part_24_N_Trial5_emotion,P24-Rec1-2009.09.01.11.59.10_C1 trigger _C_Section_9,20
Sessions/2480,Part_20_S_Trial5_emotion,P20-Rec1-2009.08.31.10.38.29_C1 trigger _C_Section_10,122
Sessions/90,Part_1_Trial19_taggingImages2,P1-Rec3-2009.07.09.18.51.48_C1 trigger _C_Section_20,12
Sessions/1473,Part_12_Trial2_taggingImages1,P12-Rec2-2009.08.26.12.19.18_C1 trigger _C_Section_3,11
Sessions/2283,Part_18_Trial2_taggingImages2,P18-Rec3-2009.08.28.12.20.48_C1 trigger _C_Section_3,11
Sessions/3445,Part_27_Trial24_taggingImages1,P27-Rec2-2009.09.02.17.26.14_C1 trigger _C_Section_25,11
Sessions/3296,Part_26_Trial5_taggingImages1,P26-Rec2-2009.09.01.17.33.19_C1 trigger _C_Section_6,11
Sessions/418,Part_4_S_Trial14_emotion,P4-Rec1-2009.07.21.17.46.06_C1 trigger _C_Section_28,92
Sessions/713,Part_6_Trial22_taggingImages1,P6-Rec2-2009.07.22.15.37.28_C1 trigger _C_Section_23,11
Sessions/118,Part_1_Trial17_taggingVideos,P1-Rec4-2009.07.09.18.57.48_C1 trigger _C_Section_18,10
Sessions/2445,Part_19_Trial4_taggingVideos,P19-Rec4-2009.08.28.17.33.30_C1 trigger _C_Section_5,12
Sessions/2998,Part_24_S_Trial4_emotion,P24-Rec1-2009.09.01.11.59.10_C1 trigger _C_Section_8,98
Sessions/2375,Part_19_N_Trial18_emotion,P19-Rec1-2009.08.28.16.34.00_C1 trigger _C_Section_35,17
Sessions/3302,Part_26_Trial11_taggingImages1,P26-Rec2-2009.09.01.17.33.19_C1 trigger _C_Section_12,11
Sessions/2745,Part_22_N_Trial8_emotion,P22-Rec1-2009.08.31.16.37.14_C1 trigger _C_Section_15,22
Sessions/1179,Part_10_N_Trial5_emotion,P10-Rec1-2009.07.23.16.46.58_C1 trigger _C_Section_9,21
Sessions/835,Part_7_Trial14_taggingImages1,P7-Rec2-2009.07.22.17.36.56_C1 trigger _C_Section_15,11
Sessions/536,Part_5_S_Trial8_emotion,P5-Rec1-2009.07.22.12.05.44_C1 trigger _C_Section_16,123
Sessions/3762,Part_29_Trial21_taggingVideos,P29-Rec4-2009.09.03.12.50.04_C1 trigger _C_Section_22,12
Sessions/2669,Part_21_Trial28_taggingImages1,P21-Rec2-2009.08.31.15.13.20_C1 trigger _C_Section_29,11
Sessions/3723,Part_29_Trial12_taggingImages2,P29-Rec3-2009.09.03.12.43.59_C1 trigger _C_Section_13,11
Sessions/3595,Part_28_Trial14_taggingImages2,P28-Rec3-2009.09.02.19.28.24_C1 trigger _C_Section_15,10
Sessions/2806,Part_22_Trial5_taggingImages2,P22-Rec3-2009.08.31.17.27.47_C1 trigger _C_Section_6,11
Sessions/103,Part_1_Trial2_taggingVideos,P1-Rec4-2009.07.09.18.57.48_C1 trigger _C_Section_3,16
Sessions/1195,Part_10_N_Trial13_emotion,P10-Rec1-2009.07.23.16.46.58_C1 trigger _C_Section_25,21
Sessions/2194,Part_17_Trial13_taggingVideos,P17-Rec4-2009.08.28.10.38.02_C1 trigger _C_Section_14,13
Sessions/903,Part_7_Trial22_taggingVideos,P7-Rec4-2009.07.22.17.50.27_C1 trigger _C_Section_23,13
Sessions/2624,Part_21_S_Trial12_emotion,P21-Rec1-2009.08.31.14.23.22_C1 trigger _C_Section_24,74
Sessions/3387,Part_27_N_Trial4_emotion,P27-Rec1-2009.09.02.16.36.05_C1 trigger _C_Section_7,22
Sessions/824,Part_7_Trial3_taggingImages1,P7-Rec2-2009.07.22.17.36.56_C1 trigger _C_Section_4,11
Sessions/2746,Part_22_S_Trial8_emotion,P22-Rec1-2009.08.31.16.37.14_C1 trigger _C_Section_16,71
Sessions/1142,Part_9_Trial1_taggingVideos,P9-Rec4-2009.07.23.15.54.20_C1 trigger _C_Section_2,15
Sessions/3831,Part_30_Trial20_taggingImages1,P30-Rec2-2009.09.03.15.12.12_C1 trigger _C_Section_21,11
Sessions/1145,Part_9_Trial4_taggingVideos,P9-Rec4-2009.07.23.15.54.20_C1 trigger _C_Section_5,15
Sessions/3020,Part_24_S_Trial15_emotion,P24-Rec1-2009.09.01.11.59.10_C1 trigger _C_Section_30,63
Sessions/2014,Part_16_Trial23_taggingImages1,P16-Rec2-2009.08.27.12.51.34_C1 trigger _C_Section_24,11
Sessions/3844,Part_30_Trial3_taggingImages2,P30-Rec3-2009.09.03.15.18.54_C1 trigger _C_Section_4,11
Sessions/1254,Part_10_Trial13_taggingImages2,P10-Rec3-2009.07.23.17.44.24_C1 trigger _C_Section_14,11
Sessions/1973,Part_16_N_Trial12_emotion,P16-Rec1-2009.08.27.12.02.50_C1 trigger _C_Section_23,22
Sessions/1352,Part_11_Trial11_taggingImages1,P11-Rec2-2009.07.24.11.21.50_C1 trigger _C_Section_12,11
Sessions/686,Part_6_S_Trial18_emotion,P6-Rec1-2009.07.22.14.39.28_C1 trigger _C_Section_36,145
Sessions/3096,Part_24_Trial5_taggingVideos,P24-Rec4-2009.09.01.13.00.44_C1 trigger _C_Section_6,13
Sessions/385,Part_3_Trial24_taggingVideos,P3-Rec4-2009.07.21.16.26.01_C1 trigger _C_Section_25,15
Sessions/3479,Part_27_Trial28_taggingImages2,P27-Rec3-2009.09.02.17.32.21_C1 trigger _C_Section_29,11
Sessions/3384,Part_27_S_Trial2_emotion,P27-Rec1-2009.09.02.16.36.05_C1 trigger _C_Section_4,120
Sessions/107,Part_1_Trial6_taggingVideos,P1-Rec4-2009.07.09.18.57.48_C1 trigger _C_Section_7,14
Sessions/2949,Part_23_Trial18_taggingImages2,P23-Rec3-2009.09.01.10.58.14_C1 trigger _C_Section_19,11
Sessions/89,Part_1_Trial18_taggingImages2,P1-Rec3-2009.07.09.18.51.48_C1 trigger _C_Section_19,11
Sessions/2088,Part_17_S_Trial4_emotion,P17-Rec1-2009.08.28.09.35.38_C1 trigger _C_Section_8,130
Sessions/2199,Part_17_Trial18_taggingVideos,P17-Rec4-2009.08.28.10.38.02_C1 trigger _C_Section_19,12
Sessions/1398,Part_11_Trial27_taggingImages2,P11-Rec3-2009.07.24.11.34.28_C1 trigger _C_Section_28,13
Sessions/3224,Part_25_Trial3_taggingVideos,P25-Rec4-2009.09.01.15.51.22_C1 trigger _C_Section_4,12
Sessions/234,Part_2_Trial3_taggingVideos,P2-Rec4-2009.07.10.16.47.27_C1 trigger _C_Section_4,15
Sessions/3792,Part_30_S_Trial11_emotion,P30-Rec1-2009.09.03.14.25.18_C1 trigger _C_Section_22,99
Sessions/508,Part_4_Trial17_taggingVideos,P4-Rec4-2009.07.21.18.57.23_C1 trigger _C_Section_18,13
Sessions/806,Part_7_S_Trial13_emotion,P7-Rec1-2009.07.22.16.46.48_C1 trigger _C_Section_26,66
Sessions/3651,Part_29_N_Trial6_emotion,P29-Rec1-2009.09.03.11.51.42_C1 trigger _C_Section_11,17
Sessions/3000,Part_24_S_Trial5_emotion,P24-Rec1-2009.09.01.11.59.10_C1 trigger _C_Section_10,110
Sessions/1653,Part_13_Trial22_taggingImages2,P13-Rec3-2009.08.26.15.27.21_C1 trigger _C_Section_23,11
Sessions/3425,Part_27_Trial4_taggingImages1,P27-Rec2-2009.09.02.17.26.14_C1 trigger _C_Section_5,11
Sessions/911,Part_8_N_Trial1_emotion,P8-Rec1-2009.07.23.13.03.17_C1 trigger _C_Section_1,21
Sessions/3631,Part_28_Trial20_taggingVideos,P28-Rec4-2009.09.02.19.34.25_C1 trigger _C_Section_21,13
Sessions/139,Part_2_N_Trial5_emotion,P2-Rec1-2009.07.10.15.42.44_C1 trigger _C_Section_9,21
Sessions/3234,Part_25_Trial13_taggingVideos,P25-Rec4-2009.09.01.15.51.22_C1 trigger _C_Section_14,11
Sessions/3630,Part_28_Trial19_taggingVideos,P28-Rec4-2009.09.02.19.34.25_C1 trigger _C_Section_20,12
Sessions/3150,Part_25_S_Trial15_emotion,P25-Rec1-2009.09.01.14.47.38_C1 trigger _C_Section_30,114
Sessions/3006,Part_24_S_Trial8_emotion,P24-Rec1-2009.09.01.11.59.10_C1 trigger _C_Section_16,101
Sessions/2573,Part_20_Trial2_taggingVideos,P20-Rec4-2009.08.31.11.39.35_C1 trigger _C_Section_3,15
Sessions/2818,Part_22_Trial17_taggingImages2,P22-Rec3-2009.08.31.17.27.47_C1 trigger _C_Section_18,10
Sessions/2974,Part_23_Trial13_taggingVideos,P23-Rec4-2009.09.01.11.04.38_C1 trigger _C_Section_14,12
Sessions/2510,Part_20_S_Trial20_emotion,P20-Rec1-2009.08.31.10.38.29_C1 trigger _C_Section_40,111
Sessions/3684,Part_29_Trial3_taggingImages1,P29-Rec2-2009.09.03.12.37.52_C1 trigger _C_Section_4,11
Sessions/3735,Part_29_Trial24_taggingImages2,P29-Rec3-2009.09.03.12.43.59_C1 trigger _C_Section_25,11
Sessions/2408,Part_19_Trial27_taggingImages1,P19-Rec2-2009.08.28.17.21.43_C1 trigger _C_Section_28,11
Sessions/3885,Part_30_Trial14_taggingVideos,P30-Rec4-2009.09.03.15.25.03_C1 trigger _C_Section_15,13
Sessions/235,Part_2_Trial4_taggingVideos,P2-Rec4-2009.07.10.16.47.27_C1 trigger _C_Section_5,15
Sessions/2015,Part_16_Trial24_taggingImages1,P16-Rec2-2009.08.27.12.51.34_C1 trigger _C_Section_25,11
Sessions/3728,Part_29_Trial17_taggingImages2,P29-Rec3-2009.09.03.12.43.59_C1 trigger _C_Section_18,11
Sessions/2057,Part_16_Trial6_taggingVideos,P16-Rec4-2009.08.27.13.03.52_C1 trigger _C_Section_7,13
Sessions/1377,Part_11_Trial6_taggingImages2,P11-Rec3-2009.07.24.11.34.28_C1 trigger _C_Section_7,12
Sessions/86,Part_1_Trial15_taggingImages2,P1-Rec3-2009.07.09.18.51.48_C1 trigger _C_Section_16,11
Sessions/902,Part_7_Trial21_taggingVideos,P7-Rec4-2009.07.22.17.50.27_C1 trigger _C_Section_22,15
Sessions/904,Part_7_Trial23_taggingVideos,P7-Rec4-2009.07.22.17.50.27_C1 trigger _C_Section_24,15
Sessions/2654,Part_21_Trial13_taggingImages1,P21-Rec2-2009.08.31.15.13.20_C1 trigger _C_Section_14,11
Sessions/774,Part_6_Trial23_taggingVideos,P6-Rec4-2009.07.22.15.52.24_C1 trigger _C_Section_24,15
Sessions/2665,Part_21_Trial24_taggingImages1,P21-Rec2-2009.08.31.15.13.20_C1 trigger _C_Section_25,11
Sessions/2363,Part_19_N_Trial12_emotion,P19-Rec1-2009.08.28.16.34.00_C1 trigger _C_Section_23,22
Sessions/182,Part_2_Trial11_taggingImages1,P2-Rec2-2009.07.10.16.34.31_C1 trigger _C_Section_12,11
Sessions/2820,Part_22_Trial19_taggingImages2,P22-Rec3-2009.08.31.17.27.47_C1 trigger _C_Section_20,11
Sessions/2471,Part_20_N_Trial1_emotion,P20-Rec1-2009.08.31.10.38.29_C1 trigger _C_Section_1,20
Sessions/2805,Part_22_Trial4_taggingImages2,P22-Rec3-2009.08.31.17.27.47_C1 trigger _C_Section_5,11
Sessions/1754,Part_14_Trial23_taggingImages1,P14-Rec2-2009.08.26.17.21.15_C1 trigger _C_Section_24,12
Sessions/1057,Part_9_N_Trial9_emotion,P9-Rec1-2009.07.23.14.55.41_C1 trigger _C_Section_17,21
Sessions/2323,Part_18_Trial12_taggingVideos,P18-Rec4-2009.08.28.12.26.58_C1 trigger _C_Section_13,12
Sessions/918,Part_8_S_Trial4_emotion,P8-Rec1-2009.07.23.13.03.17_C1 trigger _C_Section_8,82
Sessions/2837,Part_22_Trial6_taggingVideos,P22-Rec4-2009.08.31.17.33.45_C1 trigger _C_Section_7,12
Sessions/1406,Part_11_Trial5_taggingVideos,P11-Rec4-2009.07.24.11.41.28_C1 trigger _C_Section_6,15
Sessions/1522,Part_12_Trial21_taggingImages2,P12-Rec3-2009.08.26.12.25.38_C1 trigger _C_Section_22,11
Sessions/1713,Part_14_N_Trial12_emotion,P14-Rec1-2009.08.26.16.33.03_C1 trigger _C_Section_23,22
Sessions/3525,Part_28_N_Trial8_emotion,P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_15,22
Sessions/3507,Part_27_Trial26_taggingVideos,P27-Rec4-2009.09.02.17.38.20_C1 trigger _C_Section_27,12
Sessions/609,Part_5_Trial18_taggingImages2,P5-Rec3-2009.07.22.13.11.59_C1 trigger _C_Section_19,11
Sessions/1299,Part_10_Trial28_taggingVideos,P10-Rec4-2009.07.23.17.50.59_C1 trigger _C_Section_29,14
Sessions/2921,Part_23_Trial20_taggingImages1,P23-Rec2-2009.09.01.10.51.55_C1 trigger _C_Section_21,11
Sessions/1796,Part_14_Trial5_taggingVideos,P14-Rec4-2009.08.26.17.33.49_C1 trigger _C_Section_6,14
Sessions/1423,Part_11_Trial22_taggingVideos,P11-Rec4-2009.07.24.11.41.28_C1 trigger _C_Section_23,14
Sessions/1289,Part_10_Trial18_taggingVideos,P10-Rec4-2009.07.23.17.50.59_C1 trigger _C_Section_19,14
Sessions/2463,Part_19_Trial22_taggingVideos,P19-Rec4-2009.08.28.17.33.30_C1 trigger _C_Section_23,11
Sessions/2762,Part_22_S_Trial16_emotion,P22-Rec1-2009.08.31.16.37.14_C1 trigger _C_Section_32,110
Sessions/78,Part_1_Trial7_taggingImages2,P1-Rec3-2009.07.09.18.51.48_C1 trigger _C_Section_8,11
Sessions/50,Part_1_Trial9_taggingImages1,P1-Rec2-2009.07.09.18.44.59_C1 trigger _C_Section_10,11
Sessions/2907,Part_23_Trial6_taggingImages1,P23-Rec2-2009.09.01.10.51.55_C1 trigger _C_Section_7,11
Sessions/124,Part_1_Trial23_taggingVideos,P1-Rec4-2009.07.09.18.57.48_C1 trigger _C_Section_24,14
Sessions/3472,Part_27_Trial21_taggingImages2,P27-Rec3-2009.09.02.17.32.21_C1 trigger _C_Section_22,11
Sessions/2043,Part_16_Trial22_taggingImages2,P16-Rec3-2009.08.27.12.57.56_C1 trigger _C_Section_23,11
Sessions/349,Part_3_Trial18_taggingImages2,P3-Rec3-2009.07.21.16.19.16_C1 trigger _C_Section_19,12
Sessions/471,Part_4_Trial10_taggingImages2,P4-Rec3-2009.07.21.18.50.11_C1 trigger _C_Section_11,11
Sessions/2479,Part_20_N_Trial5_emotion,P20-Rec1-2009.08.31.10.38.29_C1 trigger _C_Section_9,20
Sessions/2395,Part_19_Trial14_taggingImages1,P19-Rec2-2009.08.28.17.21.43_C1 trigger _C_Section_15,11
Sessions/738,Part_6_Trial17_taggingImages2,P6-Rec3-2009.07.22.15.44.55_C1 trigger _C_Section_18,11
Sessions/844,Part_7_Trial23_taggingImages1,P7-Rec2-2009.07.22.17.36.56_C1 trigger _C_Section_24,11
